City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,ahipara,-35.1667,173.1667,68.65,64,92,2.13,NZ,1638133353
384,fort nelson,58.8053,-122.7002,2.21,88,95,1.01,CA,1638133220
385,upernavik,72.7868,-56.1549,-9.53,80,8,11.07,GL,1638133358
386,prata,-19.3072,-48.9242,80.26,58,99,1.92,BR,1638133361
387,redmond,47.674,-122.1215,61.68,84,100,11.77,US,1638133365
388,caldogno,45.6078,11.5028,41.2,82,100,2.08,IT,1638133368
389,tyup,42.7276,78.3648,15.57,68,0,4.38,KG,1638133370
390,pudozh,61.8099,36.5345,11.98,95,100,3.22,RU,1638133373
391,najran,17.4924,44.1277,60.73,37,3,0.51,SA,1638133375
392,pahrump,36.2083,-115.9839,69.44,11,0,1.95,US,1638133327
393,freeport,40.6576,-73.5832,41.02,65,13,3.47,US,1638133104
394,bakchar,57.0186,82.0711,14.43,97,100,5.95,RU,1638133382
395,roma,43.2128,-75.4557,33.66,86,90,5.75,US,1638133385
396,oskemen,49.9565,82.6119,3.02,89,4,3.47,KZ,1638133387
397,khuzdar,27.7384,66.6434,52.09,34,0,0.16,PK,1638133389
398,ziro,27.6333,93.8333,36.9,71,0,3.0,IN,1638133392
399,padang,-0.9492,100.3543,75.94,88,96,2.93,ID,1638133394
400,natal,-5.795,-35.2094,84.85,74,20,12.66,BR,1638133171
401,haskovo,41.9403,25.5694,46.02,73,72,18.77,BG,1638133399
402,manicore,-5.8092,-61.3003,82.74,82,99,1.14,BR,1638133401
403,marienberg,50.65,13.1667,29.41,97,99,3.24,DE,1638133405
404,stranraer,54.9023,-5.0273,39.09,65,13,8.52,GB,1638133408
405,plettenberg bay,-34.0527,23.3716,64.67,83,81,8.46,ZA,1638133410
406,konya,38.1667,32.5,45.88,78,25,7.65,TR,1638133412
407,beeskow,52.1667,14.25,32.05,93,98,3.74,DE,1638133415
408,narsaq,60.9167,-46.05,35.82,99,100,2.95,GL,1638133391
409,bari,41.1177,16.8512,52.14,66,0,12.66,IT,1638133419
410,maldonado,-34.6667,-54.9167,65.59,93,100,7.58,UY,1638133422
411,umirim,-3.6772,-39.3503,82.62,68,7,10.02,BR,1638133424
412,prachuap khiri khan,12.2167,99.75,67.35,87,87,3.96,TH,1638133426
413,udachnyy,66.4167,112.4,-21.68,97,96,2.53,RU,1638133429
414,krasnoyarskiy,51.965,59.8967,17.73,87,100,4.18,RU,1638133431
415,abaza,52.655,90.0928,13.95,91,76,5.23,RU,1638133433
416,banfora,10.6333,-4.7667,82.15,18,36,2.86,BF,1638133436
417,thayetmyo,19.3167,95.1833,68.9,81,11,4.54,MM,1638133438
418,luganville,-15.5333,167.1667,82.18,75,5,4.94,VU,1638133443
419,laguna,38.421,-121.4238,71.42,57,1,8.05,US,1638133278
420,boden,65.8252,21.6886,-0.4,95,56,1.03,SE,1638133448
421,bac lieu,9.285,105.7244,74.95,98,100,9.15,VN,1638133450
422,tokat,40.4167,36.5833,43.95,78,74,7.61,TR,1638133452
423,kaa-khem,51.6833,94.7333,7.65,97,99,2.55,RU,1638133457
424,am timan,11.0297,20.2827,80.53,21,4,5.44,TD,1638133459
425,indramayu,-6.3264,108.32,78.98,80,83,3.49,ID,1638133462
426,beyneu,45.3167,55.2,36.0,45,70,9.57,KZ,1638133464
427,kahului,20.8947,-156.47,80.62,57,20,19.57,US,1638133467
428,korla,41.7597,86.1469,23.05,53,0,3.11,CN,1638133229
429,sinazongwe,-17.2614,27.4618,78.75,47,5,5.46,ZM,1638133471
430,yilan,24.757,121.753,71.71,99,100,5.79,TW,1638133473
431,fortuna,40.5982,-124.1573,53.94,93,90,0.0,US,1638133457
432,chapais,49.7834,-74.8492,14.47,94,100,4.05,CA,1638133478
433,wenling,28.3669,121.36,59.38,92,87,8.48,CN,1638133481
434,muroto,33.2833,134.15,53.56,60,2,3.71,JP,1638133483
435,deniliquin,-35.5333,144.9667,65.03,61,0,7.74,AU,1638133488
